Transaction ID,Date,Opportunity Amount,Type,Customer ID,Sales Agent,Opportunity stage,Opportunity status,Amount closed
286,2023-04-23,31650.37,Contract,60209,Agent D,Proposal,Open,34810.96
271,2023-04-26,36480.88,Upgrade,89780,Agent D,Prospecting,Lost,33631.36
29,2023-04-27,14336.15,Renewal,56617,Agent C,Negotiation,Won,44238.24
175,2023-04-29,43597.52,Contract,99890,Agent D,Prospecting,Won,44941.26
3,2023-04-29,29146.06,Renewal,95016,Agent B,Prospecting,On Hold,32211.16
68,2023-05-01,48270.66,Sale,46076,Agent B,Closing,Open,7021.98
181,2023-05-03,41698.57,Contract,57975,Agent A,Proposal,Open,37017.36
74,2023-05-03,44342.96,Sale,67447,Agent D,Negotiation,Won,47827.21
115,2023-05-05,17164.76,Contract,33616,Agent D,Prospecting,On Hold,38527.2
218,2023-05-07,12332.95,Upgrade,12422,Agent D,Negotiation,Lost,33142.82
145,2023-05-07,34050.66,Sale,65060,Agent B,Closing,Open,6374.94
43,2023-05-09,11518.15,Upgrade,98910,Agent B,Proposal,Open,44059.41
80,2023-05-09,11666.34,Contract,92368,Agent A,Negotiation,On Hold,17690.95
136,2023-05-10,13867.44,Contract,78935,Agent C,Closing,Open,14912.29
53,2023-05-10,48287.14,Upgrade,43393,Agent D,Qualification,Lost,22936.14
54,2023-05-10,18146.64,Contract,69843,Agent A,Qualification,Open,40872.66
260,2023-05-11,12733.39,Upgrade,92293,Agent C,Qualification,Open,8327.1
197,2023-05-11,9482.67,Sale,53593,Agent D,Proposal,Open,32841.92
111,2023-05-12,23924.28,Renewal,80386,Agent A,Qualification,On Hold,32482.82
81,2023-05-13,49182.32,Contract,87528,Agent A,Closing,Lost,18913.39
249,2023-05-15,47792.87,Upgrade,40642,Agent A,Proposal,Won,38157.01
258,2023-05-18,38695.47,Renewal,20706,Agent C,Negotiation,Open,34767.32
216,2023-05-20,49565.53,Sale,54113,Agent A,Closing,Won,44505.58
165,2023-05-21,36482.99,Upgrade,49855,Agent D,Qualification,Open,984.58
85,2023-05-25,21586.31,Sale,13467,Agent D,Prospecting,Lost,49163.74
291,2023-05-27,25494.99,Contract,30202,Agent C,Proposal,Lost,45033.76
276,2023-05-28,18175.73,Upgrade,66467,Agent D,Prospecting,On Hold,16954.73
38,2023-05-29,10943.06,Renewal,17802,Agent B,Qualification,On Hold,35452.54
39,2023-05-29,37258.69,Contract,64685,Agent C,Proposal,Open,30763.82
86,2023-05-30,11160.51,Sale,20716,Agent B,Prospecting,Won,1521.33
228,2023-05-30,34963.66,Renewal,64690,Agent D,Proposal,Won,5088.51
118,2023-05-30,18571.94,Upgrade,53827,Agent D,Closing,Won,27914.17
172,2023-05-31,48162.5,Contract,71096,Agent C,Negotiation,Open,42828.37
290,2023-06-01,17224.37,Contract,16421,Agent D,Negotiation,Open,36423.7
224,2023-06-02,17977.93,Contract,11631,Agent D,Proposal,Lost,18.37
48,2023-06-02,38689.86,Upgrade,53699,Agent C,Closing,Open,26897.29
187,2023-06-03,16640.78,Contract,56404,Agent A,Negotiation,Lost,22632.68
171,2023-06-03,40837.62,Renewal,27570,Agent A,Negotiation,Lost,38445.97
219,2023-06-07,33744.28,Sale,60933,Agent B,Negotiation,Lost,42268.23
177,2023-06-12,47834.35,Sale,54192,Agent D,Negotiation,On Hold,29407.88
95,2023-06-14,45795.0,Renewal,11614,Agent A,Negotiation,Lost,46480.94
49,2023-06-14,45667.39,Sale,87158,Agent B,Closing,Won,46883.15
24,2023-06-16,37888.51,Renewal,81777,Agent C,Closing,Lost,14806.39
194,2023-06-17,13335.45,Contract,83020,Agent D,Qualification,Open,47153.11
264,2023-06-19,15698.38,Upgrade,29641,Agent A,Prospecting,Lost,18863.45
94,2023-06-20,48237.56,Contract,87525,Agent A,Prospecting,On Hold,24697.26
1,2023-06-23,35572.67,Renewal,50068,Agent D,Closing,Open,10009.49
21,2023-06-25,35936.97,Contract,49381,Agent B,Negotiation,Lost,19830.51
299,2023-06-25,20007.84,Contract,30324,Agent D,Closing,Lost,15393.7
227,2023-06-25,16072.84,Contract,41388,Agent B,Negotiation,Open,31918.14
139,2023-06-25,40990.81,Sale,14409,Agent B,Prospecting,Open,17433.26
266,2023-06-27,47416.26,Upgrade,37361,Agent C,Closing,On Hold,40903.86
35,2023-06-28,43873.5,Renewal,46915,Agent B,Proposal,Won,14244.28
100,2023-06-29,15450.54,Sale,68202,Agent C,Closing,On Hold,29433.11
158,2023-07-01,25561.01,Renewal,97647,Agent B,Prospecting,Won,11445.38
83,2023-07-01,27382.61,Contract,58008,Agent D,Qualification,On Hold,17972.66
135,2023-07-03,21688.38,Contract,19103,Agent B,Negotiation,Won,24052.12
217,2023-07-03,23407.43,Contract,93575,Agent B,Prospecting,Open,49454.42
50,2023-07-04,8754.01,Contract,76297,Agent B,Negotiation,Open,15259.44
141,2023-07-05,28347.58,Upgrade,53224,Agent B,Qualification,Lost,40243.92
169,2023-07-05,15800.91,Renewal,39334,Agent A,Negotiation,Open,31415.69
186,2023-07-05,24081.45,Sale,28058,Agent B,Qualification,Won,37430.3
42,2023-07-06,13247.59,Renewal,14039,Agent C,Negotiation,Lost,24172.95
110,2023-07-08,16041.52,Sale,43363,Agent C,Proposal,Lost,48963.51
259,2023-07-10,15701.33,Upgrade,84462,Agent A,Closing,Won,4642.56
208,2023-07-10,16337.34,Upgrade,62199,Agent C,Prospecting,On Hold,2676.48
4,2023-07-13,45350.21,Upgrade,85358,Agent D,Qualification,Won,6104.28
124,2023-07-14,22096.71,Sale,77267,Agent B,Negotiation,On Hold,3691.31
18,2023-07-14,40912.11,Contract,18058,Agent A,Prospecting,Lost,49901.14
7,2023-07-16,34838.52,Renewal,11291,Agent D,Prospecting,Lost,10493.02
97,2023-07-18,19991.53,Renewal,47708,Agent D,Prospecting,Won,39903.95
209,2023-07-18,14952.24,Renewal,42329,Agent C,Proposal,Lost,9081.12
31,2023-07-18,21837.65,Renewal,24937,Agent B,Proposal,Open,24484.25
255,2023-07-18,17259.66,Upgrade,79616,Agent B,Proposal,Lost,27759.69
292,2023-07-19,23077.11,Renewal,94509,Agent C,Negotiation,Lost,38493.58
241,2023-07-20,41673.49,Upgrade,11064,Agent B,Closing,Lost,11798.52
300,2023-07-22,46587.14,Upgrade,73458,Agent C,Proposal,Won,47271.55
106,2023-07-22,11612.6,Sale,66492,Agent A,Prospecting,On Hold,20654.31
46,2023-07-23,47319.44,Contract,31863,Agent C,Negotiation,Open,30377.27
76,2023-07-24,43202.46,Renewal,98193,Agent B,Proposal,On Hold,48210.02
205,2023-07-25,5702.27,Renewal,98330,Agent D,Proposal,Lost,29485.59
192,2023-07-28,21051.81,Contract,31707,Agent A,Proposal,Open,20581.32
89,2023-07-28,28009.35,Renewal,39111,Agent B,Qualification,Open,2118.2
261,2023-07-30,25218.12,Renewal,33843,Agent B,Proposal,On Hold,42559.92
119,2023-07-30,16795.32,Renewal,75017,Agent D,Negotiation,Won,21418.93
10,2023-08-01,39127.04,Renewal,44897,Agent A,Prospecting,Won,34273.36
215,2023-08-02,48841.53,Sale,71472,Agent D,Closing,On Hold,36607.11
207,2023-08-04,8063.33,Upgrade,90003,Agent B,Closing,Won,46453.31
210,2023-08-05,16393.6,Sale,27181,Agent D,Closing,On Hold,5611.22
200,2023-08-06,25437.31,Renewal,26627,Agent C,Prospecting,Won,41365.66
223,2023-08-07,40245.55,Contract,59083,Agent A,Negotiation,Won,2138.16
236,2023-08-08,42289.56,Upgrade,11004,Agent C,Proposal,On Hold,48026.12
278,2023-08-11,23786.89,Renewal,71868,Agent A,Qualification,Lost,40148.77
114,2023-08-12,37716.99,Sale,51622,Agent D,Proposal,Lost,37080.16
198,2023-08-13,47538.57,Sale,24272,Agent B,Negotiation,Lost,5324.77
149,2023-08-16,29127.99,Renewal,99333,Agent D,Closing,On Hold,45986.9
87,2023-08-17,41995.3,Sale,32901,Agent D,Proposal,Lost,9681.16
117,2023-08-17,7491.84,Upgrade,67427,Agent D,Negotiation,Won,7517.49
179,2023-08-18,41934.52,Sale,76147,Agent A,Qualification,Lost,49926.33
250,2023-08-22,15503.91,Contract,67924,Agent A,Proposal,On Hold,43509.11
204,2023-08-24,6488.36,Sale,45568,Agent D,Closing,Lost,19656.12
164,2023-08-27,36051.13,Upgrade,19690,Agent A,Prospecting,On Hold,16447.69
274,2023-08-31,25331.98,Sale,66606,Agent D,Negotiation,Open,1638.8
12,2023-09-01,22255.88,Renewal,22230,Agent D,Closing,Lost,5092.73
36,2023-09-02,10288.93,Renewal,64019,Agent A,Prospecting,On Hold,5199.4
30,2023-09-02,24110.85,Contract,81007,Agent A,Prospecting,Lost,35098.88
57,2023-09-03,5739.33,Renewal,75112,Agent D,Negotiation,Won,15991.69
47,2023-09-03,39439.64,Contract,98327,Agent C,Closing,On Hold,26329.2
157,2023-09-07,29471.27,Renewal,17581,Agent D,Closing,Won,3429.84
180,2023-09-10,45897.97,Contract,33289,Agent A,Proposal,On Hold,6578.8
6,2023-09-10,14760.36,Contract,30045,Agent C,Prospecting,Lost,3003.9
284,2023-09-12,29609.82,Renewal,69165,Agent B,Negotiation,Won,5823.16
256,2023-09-13,22057.56,Renewal,88980,Agent B,Qualification,On Hold,20846.7
251,2023-09-14,36039.57,Contract,18686,Agent B,Closing,Open,28103.31
99,2023-09-15,23325.85,Contract,93303,Agent A,Qualification,On Hold,49023.32
253,2023-09-15,37881.91,Sale,58825,Agent B,Prospecting,Lost,29809.22
63,2023-09-16,7877.99,Renewal,42214,Agent B,Negotiation,Lost,22143.65
221,2023-09-17,49523.44,Renewal,93227,Agent B,Closing,Won,15376.6
131,2023-09-17,16674.02,Sale,14562,Agent B,Negotiation,On Hold,24921.74
146,2023-09-17,6591.31,Sale,15703,Agent C,Qualification,On Hold,42032.05
237,2023-09-18,46623.51,Sale,97047,Agent C,Negotiation,Open,39947.66
203,2023-09-18,32650.91,Sale,45983,Agent B,Qualification,Lost,19153.32
163,2023-09-19,45682.0,Renewal,17209,Agent D,Proposal,On Hold,15881.59
78,2023-09-21,5595.66,Upgrade,87493,Agent C,Negotiation,Won,40103.43
41,2023-09-24,30443.96,Renewal,76181,Agent D,Negotiation,Lost,41782.3
239,2023-09-24,15468.21,Upgrade,31227,Agent C,Negotiation,Open,40246.78
28,2023-09-24,6154.82,Contract,49905,Agent C,Qualification,Open,46758.03
126,2023-09-25,40484.55,Contract,97360,Agent D,Qualification,Lost,35877.98
193,2023-09-26,5734.78,Contract,62701,Agent D,Qualification,On Hold,15263.35
69,2023-09-26,15426.57,Contract,44183,Agent C,Prospecting,Lost,35644.62
151,2023-09-28,17491.82,Upgrade,32572,Agent B,Proposal,Won,32028.23
161,2023-09-29,37587.54,Upgrade,80577,Agent A,Closing,On Hold,29546.34
121,2023-09-29,35747.66,Upgrade,15130,Agent D,Proposal,Won,5254.73
277,2023-10-02,11855.96,Contract,38070,Agent A,Prospecting,On Hold,9436.61
58,2023-10-02,46828.82,Sale,12555,Agent B,Proposal,Open,9822.55
293,2023-10-03,16178.61,Upgrade,43725,Agent B,Qualification,Won,42484.49
190,2023-10-03,48154.22,Sale,20525,Agent B,Prospecting,Open,7329.19
138,2023-10-04,7007.55,Contract,24552,Agent A,Qualification,On Hold,29313.87
11,2023-10-06,19400.77,Renewal,35754,Agent C,Qualification,Won,2474.99
88,2023-10-08,13543.16,Sale,70241,Agent A,Negotiation,Lost,5612.5
144,2023-10-09,48174.5,Contract,83678,Agent C,Prospecting,Lost,20722.83
37,2023-10-14,28282.06,Upgrade,55486,Agent D,Closing,Lost,45394.92
143,2023-10-15,30989.43,Renewal,16034,Agent A,Negotiation,Lost,42365.38
272,2023-10-15,48558.45,Renewal,39030,Agent D,Negotiation,Won,41424.02
183,2023-10-16,33300.43,Upgrade,56843,Agent C,Negotiation,On Hold,18652.73
238,2023-10-16,7070.33,Sale,37532,Agent B,Closing,Won,3899.64
40,2023-10-17,22822.69,Renewal,39442,Agent B,Closing,Lost,39624.95
275,2023-10-18,8189.14,Renewal,64898,Agent C,Proposal,Won,12207.85
246,2023-10-19,49640.51,Renewal,89013,Agent A,Prospecting,Won,23516.06
52,2023-10-19,31301.42,Contract,30381,Agent A,Negotiation,Lost,45106.56
254,2023-10-19,44677.41,Sale,51847,Agent B,Proposal,Won,21440.49
262,2023-10-20,18701.08,Contract,97984,Agent A,Negotiation,On Hold,38553.87
66,2023-10-20,44442.74,Renewal,83298,Agent C,Prospecting,Open,23709.24
206,2023-10-20,24295.81,Renewal,28065,Agent B,Qualification,Lost,44078.36
270,2023-10-20,38784.42,Upgrade,28931,Agent C,Prospecting,On Hold,21562.89
101,2023-10-21,10961.94,Upgrade,14845,Agent D,Closing,On Hold,2275.54
265,2023-10-21,27607.53,Contract,32578,Agent D,Prospecting,Won,46301.33
13,2023-10-21,31474.27,Sale,60863,Agent B,Qualification,On Hold,6708.68
137,2023-10-23,25693.51,Contract,89131,Agent A,Closing,On Hold,43127.96
232,2023-10-24,17917.32,Upgrade,95969,Agent D,Prospecting,Won,20756.26
152,2023-10-25,10798.73,Renewal,17951,Agent B,Negotiation,Open,34432.42
297,2023-10-26,28623.67,Sale,54304,Agent A,Negotiation,Lost,20797.67
234,2023-10-26,23668.56,Sale,99744,Agent B,Proposal,Open,22590.35
199,2023-10-29,44126.98,Renewal,73472,Agent A,Prospecting,Open,32545.7
235,2023-10-31,21224.55,Contract,32075,Agent A,Proposal,Won,39991.5
102,2023-11-02,7404.22,Upgrade,31922,Agent A,Proposal,Lost,9899.14
92,2023-11-03,43798.62,Contract,72570,Agent D,Closing,Lost,41849.52
226,2023-11-05,34812.71,Renewal,33325,Agent C,Qualification,Open,23104.88
132,2023-11-05,21821.59,Renewal,18889,Agent B,Qualification,Lost,35089.29
225,2023-11-07,15863.84,Renewal,95304,Agent A,Proposal,On Hold,13686.63
17,2023-11-12,17309.39,Sale,15802,Agent D,Prospecting,On Hold,37526.83
160,2023-11-15,25637.18,Upgrade,50580,Agent B,Negotiation,Won,21757.1
64,2023-11-19,26853.24,Contract,80841,Agent A,Proposal,Open,44904.39
285,2023-11-20,17367.06,Sale,87979,Agent D,Closing,On Hold,8159.09
268,2023-11-21,44028.02,Renewal,67329,Agent C,Negotiation,Open,11074.51
159,2023-11-21,44691.86,Sale,91618,Agent A,Qualification,On Hold,17899.2
5,2023-11-21,49565.25,Upgrade,63123,Agent C,Closing,Open,12980.01
77,2023-11-22,32804.45,Contract,24226,Agent D,Qualification,Lost,26574.71
182,2023-11-24,12173.65,Contract,13995,Agent A,Prospecting,On Hold,41050.76
185,2023-11-25,7822.08,Sale,64655,Agent B,Proposal,Open,4937.99
153,2023-11-26,22670.41,Upgrade,93543,Agent D,Qualification,On Hold,2122.72
156,2023-11-26,45679.28,Renewal,51470,Agent B,Prospecting,Lost,17005.04
168,2023-11-29,33622.75,Renewal,26620,Agent B,Qualification,On Hold,37012.25
26,2023-12-01,14599.04,Upgrade,91776,Agent C,Prospecting,Lost,32852.18
84,2023-12-02,33776.26,Upgrade,34530,Agent C,Prospecting,Lost,45018.37
32,2023-12-03,25860.89,Renewal,22120,Agent B,Prospecting,On Hold,6584.36
59,2023-12-03,35146.24,Upgrade,91148,Agent A,Prospecting,Won,33576.38
23,2023-12-05,47631.68,Upgrade,14207,Agent C,Proposal,On Hold,20438.69
33,2023-12-06,17493.29,Contract,37117,Agent D,Proposal,On Hold,19850.68
279,2023-12-08,10908.02,Renewal,26419,Agent B,Closing,Won,38373.29
90,2023-12-09,15094.27,Renewal,78623,Agent D,Closing,On Hold,11387.05
288,2023-12-09,23303.0,Upgrade,13958,Agent A,Qualification,On Hold,28292.25
243,2023-12-09,48603.73,Renewal,67556,Agent B,Closing,Won,9875.96
263,2023-12-15,42763.51,Upgrade,64833,Agent A,Negotiation,Won,14072.69
294,2023-12-16,27763.99,Sale,52554,Agent D,Qualification,Won,1647.27
196,2023-12-17,46818.11,Renewal,16388,Agent C,Qualification,Won,9944.61
103,2023-12-17,37651.75,Sale,62222,Agent A,Proposal,Lost,20238.68
162,2023-12-20,22956.14,Upgrade,94311,Agent C,Closing,Won,36119.58
244,2023-12-21,45722.68,Contract,57708,Agent C,Qualification,Open,26415.76
82,2023-12-24,26526.66,Upgrade,40281,Agent D,Proposal,Open,32893.11
282,2023-12-25,45292.36,Contract,83041,Agent A,Closing,On Hold,7202.93
67,2023-12-26,20217.15,Sale,71401,Agent C,Closing,Open,25738.36
269,2023-12-27,47309.44,Sale,58764,Agent B,Qualification,Open,2212.6
8,2023-12-27,16849.51,Upgrade,67741,Agent A,Qualification,On Hold,6615.28
178,2023-12-28,30908.8,Contract,58428,Agent C,Proposal,On Hold,1713.35
129,2023-12-28,40041.29,Contract,90736,Agent D,Negotiation,Open,39993.27
150,2023-12-31,35662.66,Upgrade,62315,Agent B,Negotiation,On Hold,48038.32
